canonical_public_id,canonical_name,normalized_date_of_birth,source_keys,notes
player_istvan_kozma_hungary_1964,István Kozma,1964-12-03,cm9798_vanilla_original:28935;cm9899_vanilla_original:21718;cm9900_vanilla_original:29467;cm0001_vanilla_original:43445;cm0102_vanilla_original:73772,National Football Teams BDFutbol and Liverpool records agree on 3 Dec; exact Ujpest career
player_john_clark_scotland_1964,John Clark,1964-09-22,cm9697_vanilla_original:2683;cm9798_vanilla_original:7249;cm9899_vanilla_original:5085;cm9900_vanilla_original:7443;cm0001_vanilla_original:12637;cm0102_vanilla_original:15666;cm0203_vanilla_original:112804;cm0304_vanilla_original:116725,External records give 22 Sep; continuous Dunfermline-Berwick-Gala Fairydean career
player_juan_antonio_simon_spain_1972,Juan Antonio Simón,1972-10-24,cm9798_vanilla_original:23812;cm9899_vanilla_original:36527;cm9900_vanilla_original:47617;cm0001_vanilla_original:70739;cm0102_vanilla_original:111013;cm0203_vanilla_original:4678;cm0304_vanilla_original:4485,BDFutbol sport.de and zerozero agree on 24 Oct; full name Juan Antonio Simón Sanjurjo and club history agree
player_pablo_rodriguez_argentina_1976,Pablo Rodríguez,1976-12-30,cm9899_vanilla_original:36207;cm9900_vanilla_original:10489;cm0001_vanilla_original:16378;cm0102_vanilla_original:23905;cm0203_vanilla_original:114467;cm0304_vanilla_original:118357,StatsCrew and Belgrano roster records agree on 30 Dec; exact Belgrano defender career
player_paulo_catarino_portugal_1972,Paulo Catarino,1972-03-25,cm9798_vanilla_original:66141;cm9900_vanilla_original:41180;cm0001_vanilla_original:59482;cm0102_vanilla_original:97048;cm0203_vanilla_original:172434;cm0304_vanilla_original:183473,Transfermarkt zerozero and player databases agree on 25 Mar; continuous Portuguese club career
player_simon_karkov_denmark_1976,Simon Karkov,1976-08-03,cm9798_vanilla_original:14715;cm9899_vanilla_original:10580;cm9900_vanilla_original:16141;cm0001_vanilla_original:24242;cm0102_vanilla_original:48939;cm0203_vanilla_original:2774;cm0304_vanilla_original:2644,Danish SuperStats FBref and a contemporary birthday article support 3 Aug; exact Esbjerg-Heerenveen-Herfolge career
player_pierre_achille_webo_cameroon_1982,Pierre Achille Webó,1982-01-20,cm0102_vanilla_original:4787;cm0203_vanilla_original:147661;cm0304_vanilla_original:188349,BDFutbol Transfermarkt and the 03/04 source agree on 20 Jan; exact Cameroon identity and Nacional-Osasuna career continuity
player_tuncay_sanli_turkey_1982,Tuncay Şanlı,1982-01-16,cm0001_vanilla_original:78230;cm0102_vanilla_original:120008;cm0203_vanilla_original:44893;cm0304_vanilla_original:46049,Transfermarkt and Wikipedia agree on Tuncay Şanlı and 16 Jan; exact Sakaryaspor-Fenerbahçe career continuity
player_umit_ozat_turkey_1976,Ümit Özat,1976-10-30,cm0001_vanilla_original:16647;cm0102_vanilla_original:35719;cm0203_vanilla_original:42862;cm0304_vanilla_original:44031,Transfermarkt agrees on Ümit Özat and 30 Oct; exact Gençlerbirligi-Fenerbahçe career continuity
player_raul_spain_1977,Raúl,1977-06-27,cm9697_vanilla_original:3820;cm9798_vanilla_original:23856;cm9899_vanilla_original:35080;cm9900_vanilla_original:45973;cm0001_vanilla_original:10910;cm0102_vanilla_original:22207;cm0203_vanilla_original:4692;cm0304_vanilla_original:4499,Transfermarkt identifies Raúl González Blanco and 27 Jun; exact Real Madrid career continuity
player_hasan_sas_turkey_1976,Hasan Şaş,1976-08-01,cm9899_vanilla_original:39062;cm9900_vanilla_original:12613;cm0001_vanilla_original:44037;cm0102_vanilla_original:16391;cm0203_vanilla_original:7556;cm0304_vanilla_original:7293,Transfermarkt gives Hasan Gökhan Şaş and 1 Aug 1976; continuous Galatasaray career despite the early source year error
player_sergen_yalcin_turkey_1972,Sergen Yalçın,1972-11-05,cm9899_vanilla_original:39091;cm9900_vanilla_original:51105;cm0001_vanilla_original:77889;cm0102_vanilla_original:119581;cm0203_vanilla_original:113940;cm0304_vanilla_original:117850,Transfermarkt gives Ali Rıza Sergen Yalçın and 5 Nov 1972; exact Istanbulspor-Fenerbahçe-Siirt-Besiktas career despite source month errors
player_recber_rustu_turkey_1973,Rüştü Reçber,1973-05-10,cm9697_vanilla_original:5073;cm9798_vanilla_original:67118;cm9899_vanilla_original:39055;cm9900_vanilla_original:51052;cm0001_vanilla_original:77737;cm0102_vanilla_original:119380;cm0203_vanilla_original:113931;cm0304_vanilla_original:117841,Wikipedia and 2002 squad records give Rüştü Reçber and 10 May 1973; exact Fenerbahçe-Barcelona career despite the 97/98 DOB error
player_mandirali_hami_turkey_1968,Hami Mandıralı,1968-07-20,cm9697_vanilla_original:4963;cm9798_vanilla_original:28469;cm9899_vanilla_original:39041;cm9900_vanilla_original:51033;cm0001_vanilla_original:76858;cm0102_vanilla_original:118238;cm0203_vanilla_original:113921;cm0304_vanilla_original:117831,Transfermarkt gives Hami Mandıralı and 20 Jul 1968; exact Trabzonspor-Schalke career despite recurring source DOB errors
player_alvaro_recoba_uruguay_1976,Álvaro Recoba,1976-03-17,cm9798_vanilla_original:32329;cm9899_vanilla_original:41714;cm9900_vanilla_original:54220;cm0001_vanilla_original:85828;cm0102_vanilla_original:132584;cm0203_vanilla_original:71878;cm0304_vanilla_original:73428,Inter official archive and Transfermarkt give 17 Mar 1976; exact Nacional-Internazionale career despite source DOB offsets
